identity,vlan,cidr,network,prefix,gateway,pool,pool_start,pool_end,first_usable,last_usable,broadcast
HOY_23,1526,192.168.165.160/27,192.168.165.160,27,192.168.165.161,192.168.165.162-192.168.165.190,192.168.165.162,192.168.165.190,192.168.165.161,192.168.165.190,192.168.165.191
HOY_167,1527,192.168.165.192/27,192.168.165.192,27,192.168.165.193,192.168.165.194-192.168.165.222,192.168.165.194,192.168.165.222,192.168.165.193,192.168.165.222,192.168.165.223
HOY_168,1528,192.168.165.224/27,192.168.165.224,27,192.168.165.225,192.168.165.226-192.168.165.254,192.168.165.226,192.168.165.254,192.168.165.225,192.168.165.254,192.168.165.255
HOY_169,1529,192.168.166.0/27,192.168.166.0,27,192.168.166.1,192.168.166.2-192.168.166.30,192.168.166.2,192.168.166.30,192.168.166.1,192.168.166.30,192.168.166.31
HOY_170,1530,192.168.166.32/27,192.168.166.32,27,192.168.166.33,192.168.166.34-192.168.166.62,192.168.166.34,192.168.166.62,192.168.166.33,192.168.166.62,192.168.166.63
HOY_171,1531,192.168.166.64/27,192.168.166.64,27,192.168.166.65,192.168.166.66-192.168.166.94,192.168.166.66,192.168.166.94,192.168.166.65,192.168.166.94,192.168.166.95
HOY_172,1532,192.168.166.96/27,192.168.166.96,27,192.168.166.97,192.168.166.98-192.168.166.126,192.168.166.98,192.168.166.126,192.168.166.97,192.168.166.126,192.168.166.127
HOY_173,1533,192.168.166.128/27,192.168.166.128,27,192.168.166.129,192.168.166.130-192.168.166.158,192.168.166.130,192.168.166.158,192.168.166.129,192.168.166.158,192.168.166.159
HOY_174,1534,192.168.166.160/27,192.168.166.160,27,192.168.166.161,192.168.166.162-192.168.166.190,192.168.166.162,192.168.166.190,192.168.166.161,192.168.166.190,192.168.166.191
HOY_175,1535,192.168.166.192/27,192.168.166.192,27,192.168.166.193,192.168.166.194-192.168.166.222,192.168.166.194,192.168.166.222,192.168.166.193,192.168.166.222,192.168.166.223
HOY_176,1536,192.168.166.224/27,192.168.166.224,27,192.168.166.225,192.168.166.226-192.168.166.254,192.168.166.226,192.168.166.254,192.168.166.225,192.168.166.254,192.168.166.255
HOY_177,1537,192.168.167.0/27,192.168.167.0,27,192.168.167.1,192.168.167.2-192.168.167.30,192.168.167.2,192.168.167.30,192.168.167.1,192.168.167.30,192.168.167.31
HOY_178,1538,192.168.167.32/27,192.168.167.32,27,192.168.167.33,192.168.167.34-192.168.167.62,192.168.167.34,192.168.167.62,192.168.167.33,192.168.167.62,192.168.167.63
HOY_179,1539,192.168.167.64/27,192.168.167.64,27,192.168.167.65,192.168.167.66-192.168.167.94,192.168.167.66,192.168.167.94,192.168.167.65,192.168.167.94,192.168.167.95
HOY_180,1540,192.168.167.96/27,192.168.167.96,27,192.168.167.97,192.168.167.98-192.168.167.126,192.168.167.98,192.168.167.126,192.168.167.97,192.168.167.126,192.168.167.127
HOY_181,1541,192.168.167.128/27,192.168.167.128,27,192.168.167.129,192.168.167.130-192.168.167.158,192.168.167.130,192.168.167.158,192.168.167.129,192.168.167.158,192.168.167.159
HOY_182,1542,192.168.167.160/27,192.168.167.160,27,192.168.167.161,192.168.167.162-192.168.167.190,192.168.167.162,192.168.167.190,192.168.167.161,192.168.167.190,192.168.167.191
HOY_183,1543,192.168.167.192/27,192.168.167.192,27,192.168.167.193,192.168.167.194-192.168.167.222,192.168.167.194,192.168.167.222,192.168.167.193,192.168.167.222,192.168.167.223
HOY_184,1544,192.168.167.224/27,192.168.167.224,27,192.168.167.225,192.168.167.226-192.168.167.254,192.168.167.226,192.168.167.254,192.168.167.225,192.168.167.254,192.168.167.255
HOY_185,1545,192.168.168.0/27,192.168.168.0,27,192.168.168.1,192.168.168.2-192.168.168.30,192.168.168.2,192.168.168.30,192.168.168.1,192.168.168.30,192.168.168.31
HOY_188,1546,192.168.168.32/27,192.168.168.32,27,192.168.168.33,192.168.168.34-192.168.168.62,192.168.168.34,192.168.168.62,192.168.168.33,192.168.168.62,192.168.168.63
HOY_189,1547,192.168.168.64/27,192.168.168.64,27,192.168.168.65,192.168.168.66-192.168.168.94,192.168.168.66,192.168.168.94,192.168.168.65,192.168.168.94,192.168.168.95
HOY_190,1548,192.168.168.96/27,192.168.168.96,27,192.168.168.97,192.168.168.98-192.168.168.126,192.168.168.98,192.168.168.126,192.168.168.97,192.168.168.126,192.168.168.127
HOY_191,1549,192.168.168.128/27,192.168.168.128,27,192.168.168.129,192.168.168.130-192.168.168.158,192.168.168.130,192.168.168.158,192.168.168.129,192.168.168.158,192.168.168.159
HOY_192,1550,192.168.168.160/27,192.168.168.160,27,192.168.168.161,192.168.168.162-192.168.168.190,192.168.168.162,192.168.168.190,192.168.168.161,192.168.168.190,192.168.168.191
HOY_193,1551,192.168.168.192/27,192.168.168.192,27,192.168.168.193,192.168.168.194-192.168.168.222,192.168.168.194,192.168.168.222,192.168.168.193,192.168.168.222,192.168.168.223
HOY_194,1552,192.168.168.224/27,192.168.168.224,27,192.168.168.225,192.168.168.226-192.168.168.254,192.168.168.226,192.168.168.254,192.168.168.225,192.168.168.254,192.168.168.255
HOY_195,1553,192.168.169.0/27,192.168.169.0,27,192.168.169.1,192.168.169.2-192.168.169.30,192.168.169.2,192.168.169.30,192.168.169.1,192.168.169.30,192.168.169.31
HOY_196,1554,192.168.169.32/27,192.168.169.32,27,192.168.169.33,192.168.169.34-192.168.169.62,192.168.169.34,192.168.169.62,192.168.169.33,192.168.169.62,192.168.169.63
HOY_197,1555,192.168.169.64/27,192.168.169.64,27,192.168.169.65,192.168.169.66-192.168.169.94,192.168.169.66,192.168.169.94,192.168.169.65,192.168.169.94,192.168.169.95
HOY_198,1556,192.168.169.96/27,192.168.169.96,27,192.168.169.97,192.168.169.98-192.168.169.126,192.168.169.98,192.168.169.126,192.168.169.97,192.168.169.126,192.168.169.127
HOY_199,1557,192.168.169.128/27,192.168.169.128,27,192.168.169.129,192.168.169.130-192.168.169.158,192.168.169.130,192.168.169.158,192.168.169.129,192.168.169.158,192.168.169.159
