identity,vlan,cidr,network,prefix,gateway,pool,pool_start,pool_end,first_usable,last_usable,broadcast
EWT_1255,1416,192.168.151.224/27,192.168.151.224,27,192.168.151.225,192.168.151.226-192.168.151.254,192.168.151.226,192.168.151.254,192.168.151.225,192.168.151.254,192.168.151.255
EWT_1256,1417,192.168.152.0/27,192.168.152.0,27,192.168.152.1,192.168.152.2-192.168.152.30,192.168.152.2,192.168.152.30,192.168.152.1,192.168.152.30,192.168.152.31
EWT_1257,1418,192.168.152.32/27,192.168.152.32,27,192.168.152.33,192.168.152.34-192.168.152.62,192.168.152.34,192.168.152.62,192.168.152.33,192.168.152.62,192.168.152.63
EWT_1263,1419,192.168.152.64/27,192.168.152.64,27,192.168.152.65,192.168.152.66-192.168.152.94,192.168.152.66,192.168.152.94,192.168.152.65,192.168.152.94,192.168.152.95
EWT_1264,1420,192.168.152.96/27,192.168.152.96,27,192.168.152.97,192.168.152.98-192.168.152.126,192.168.152.98,192.168.152.126,192.168.152.97,192.168.152.126,192.168.152.127
EWT_1265,1421,192.168.152.128/27,192.168.152.128,27,192.168.152.129,192.168.152.130-192.168.152.158,192.168.152.130,192.168.152.158,192.168.152.129,192.168.152.158,192.168.152.159
EWT_101,1422,192.168.152.160/27,192.168.152.160,27,192.168.152.161,192.168.152.162-192.168.152.190,192.168.152.162,192.168.152.190,192.168.152.161,192.168.152.190,192.168.152.191
EWT_102,1423,192.168.152.192/27,192.168.152.192,27,192.168.152.193,192.168.152.194-192.168.152.222,192.168.152.194,192.168.152.222,192.168.152.193,192.168.152.222,192.168.152.223
EWT_103,1424,192.168.152.224/27,192.168.152.224,27,192.168.152.225,192.168.152.226-192.168.152.254,192.168.152.226,192.168.152.254,192.168.152.225,192.168.152.254,192.168.152.255
EWT_104,1425,192.168.153.0/27,192.168.153.0,27,192.168.153.1,192.168.153.2-192.168.153.30,192.168.153.2,192.168.153.30,192.168.153.1,192.168.153.30,192.168.153.31
EWT_105,1426,192.168.153.32/27,192.168.153.32,27,192.168.153.33,192.168.153.34-192.168.153.62,192.168.153.34,192.168.153.62,192.168.153.33,192.168.153.62,192.168.153.63
EWT_106,1427,192.168.153.64/27,192.168.153.64,27,192.168.153.65,192.168.153.66-192.168.153.94,192.168.153.66,192.168.153.94,192.168.153.65,192.168.153.94,192.168.153.95
EWT_107,1428,192.168.153.96/27,192.168.153.96,27,192.168.153.97,192.168.153.98-192.168.153.126,192.168.153.98,192.168.153.126,192.168.153.97,192.168.153.126,192.168.153.127
EWT_108,1429,192.168.153.128/27,192.168.153.128,27,192.168.153.129,192.168.153.130-192.168.153.158,192.168.153.130,192.168.153.158,192.168.153.129,192.168.153.158,192.168.153.159
EWT_111,1430,192.168.153.160/27,192.168.153.160,27,192.168.153.161,192.168.153.162-192.168.153.190,192.168.153.162,192.168.153.190,192.168.153.161,192.168.153.190,192.168.153.191
EWT_114,1431,192.168.153.192/27,192.168.153.192,27,192.168.153.193,192.168.153.194-192.168.153.222,192.168.153.194,192.168.153.222,192.168.153.193,192.168.153.222,192.168.153.223
EWT_115,1432,192.168.153.224/27,192.168.153.224,27,192.168.153.225,192.168.153.226-192.168.153.254,192.168.153.226,192.168.153.254,192.168.153.225,192.168.153.254,192.168.153.255
EWT_116,1433,192.168.154.0/27,192.168.154.0,27,192.168.154.1,192.168.154.2-192.168.154.30,192.168.154.2,192.168.154.30,192.168.154.1,192.168.154.30,192.168.154.31
EWT_117,1434,192.168.154.32/27,192.168.154.32,27,192.168.154.33,192.168.154.34-192.168.154.62,192.168.154.34,192.168.154.62,192.168.154.33,192.168.154.62,192.168.154.63
EWT_118,1435,192.168.154.64/27,192.168.154.64,27,192.168.154.65,192.168.154.66-192.168.154.94,192.168.154.66,192.168.154.94,192.168.154.65,192.168.154.94,192.168.154.95
EWT_119,1436,192.168.154.96/27,192.168.154.96,27,192.168.154.97,192.168.154.98-192.168.154.126,192.168.154.98,192.168.154.126,192.168.154.97,192.168.154.126,192.168.154.127
EWT_120,1437,192.168.154.128/27,192.168.154.128,27,192.168.154.129,192.168.154.130-192.168.154.158,192.168.154.130,192.168.154.158,192.168.154.129,192.168.154.158,192.168.154.159
